species	genus
Bifidobacterium_adolescentis	Bifidobacterium
Bifidobacterium_bifidum	Bifidobacterium
Bifidobacterium_dentium	Bifidobacterium
Bifidobacterium_longum	Bifidobacterium
Bifidobacterium_pseudocatenulatum	Bifidobacterium
Prevotella_copri_clade_A	Prevotella	
Prevotella_copri_clade_B	Prevotella
Prevotella_copri_clade_C	Prevotella
Prevotella_copri_clade_D	Prevotella
Prevotella_hominis	Prevotella
Prevotella_pectinovora	Prevotella
Prevotella_SGB1653	Prevotella
Prevotella_SGB1680	Prevotella
Prevotella_sp_885	Prevotella
Prevotella_sp_Marseille_P4119	Prevotella
Prevotella_sp_P4_51	Prevotella
Prevotella_stercorea	Prevotella
