Name,RH57,RH1,RH58,RH27,RH24,RH54,RH56,RH2,RH40,RH41,RH9,RH30,RH25,RH55,RH12,RH32,RH43,RH16,RH50,RH18,RH51,RH37,RH42,RH64,RH49,RH20,RH33,RH46,T47be,T22,T34,T97be,T87be,T67be,T35,T95be,T63be,T55be,T81be,T89be,T68be,T86be,T41,T62be,T69be,T44be,T49be,T82be,T21,T93be,T46be,T73be,T36,T4,T14,T88be,T66be
Tetradecanoylcarnitine,16710.12953,24050.05124,157.3288406,5798.119157,19933.52892,287999.9862,21500.46054,36169.46601,4171.043231,168112.8831,105989.7894,13143.22891,9524.794117,268598.1024,44615.14623,9254.647952,248794.2392,33376.6546,46982.95711,13128.52408,98473.62661,97850.14384,2541.610746,44789.64288,13674.73873,37915.76245,368489.5227,20247.75833,2626.450969,146574.0165,4441.317523,16919.00115,1107.056949,1829.505138,16211.49624,183006.3254,85768.29518,289841.3036,420745.1822,788.8439767,10565.33536,1659.213905,32587.21926,199335.3644,3538.774519,2659.758168,5128.763897,49574.86072,471.869416,9440.189691,4289.727041,5643.127666,19382.43856,1649.380863,74233.97794,31613.09792,73881.12958
Oleylcarnitine,590316.7135,21780.4048,3205.726095,51248.32276,201119.5765,1162524.805,193936.9864,165971.8142,7166.889134,216405.1657,231177.8413,67799.25979,8879.176093,990793.1547,119142.5686,21205.8688,946719.7586,36899.05434,395503.6018,10358.56596,90279.60998,614168.4126,85424.04131,255925.1849,80261.40039,39675.0741,1661628.931,201361.1372,11042.43899,642482.5131,65307.81479,125452.1744,44233.38457,50463.96819,13610.92162,2076543.746,54909.28877,1511721.212,1132296.077,2727.780149,143300.053,3797.782011,287781.9242,495561.5892,86818.55596,76011.80526,57429.51108,792624.5175,2197.515903,38106.66735,5309.213114,90435.66619,422067.5642,3807.891522,278834.0739,202955.998,321131.253
Linoleyl_carnitine,91625.9648,10372.63283,562.0169061,15118.56495,51625.84021,270973.1156,137815.0015,48024.70711,4123.780605,54247.40716,62900.99065,24371.0877,7511.070148,594552.8059,57599.40396,5312.84276,504313.3337,9428.488557,48596.96589,2396.435113,38267.33725,109500.2429,7790.301742,121690.6625,30898.45996,11295.37332,768454.8188,43311.80587,2738.777564,386060.1043,8830.794874,10157.45019,2060.1767,4223.359375,5751.539955,1047129.029,14618.95759,321800.064,792658.7044,870.464585,85655.71681,722.6864554,55114.49051,349142.0437,11121.56912,6294.999508,3953.540761,205366.856,1646.260259,14399.18197,3600.778302,7449.810835,194753.3335,1372.364735,87443.09212,36693.50367,176652.3554
Stearylcarnitine,103081.2786,5872.302017,4809.718471,56839.99411,106639.3029,80737.66699,75988.00372,23117.61454,136992.5206,147750.0473,3881.498202,32709.80164,6875.275601,112045.1793,48813.26438,201470.4765,165212.3762,144531.03,644290.7852,1076665.38,346068.5452,891583.994,538553.4001,282927.5332,64557.12138,423336.2456,198331.9593,201343.5259,15247.21419,138117.2818,159238.9345,292963.1108,30059.35732,278628.0815,366349.9366,323512.8844,461309.249,727421.6347,67595.2101,1156.170152,49435.38807,715.9093028,161872.4623,85030.17984,210795.3103,153359.173,316665.3705,209341.9328,807.3329381,89960.09386,21188.69635,58538.51711,411090.8102,7838.234671,28838.57399,314608.5057,127521.1636
Glutamyltryptophan,91.01720104,6.009462118,797.1332053,56.18553792,291.6710941,240.8816429,196.6141327,41.24470113,30.50149048,78.94350874,212.574798,372.3653851,322.2716197,308.0663885,124.5521826,5.105515279,25.86806832,5.214307412,38.82621294,,8.939152226,,30.99706651,58.82630644,77.22423723,10.16431376,10.4951202,40.12102744,116.2696228,838.2764948,264.4590258,277.0628972,144.3740753,89.7215407,72.93889871,175.4659266,217.6283089,91.68579348,584.5554487,43.72404364,199.9694952,148.9334154,68.35041715,213.2954251,221.1784223,92.09435633,251.7806984,276.5661257,83.16661721,148.3443142,212.7834074,1012.456906,142.1339425,332.0779744,721.8779576,122.6326613,822.8584241
Leucylalanine,4657.371331,308.253861,5218.910962,780.2507116,3166.520068,6046.002575,8818.048809,3648.843278,751.6289253,6974.590839,2678.575456,1421.673241,1310.644473,8758.922669,3283.13076,464.9399256,387.0794525,440.5341547,1226.170831,278.3921059,161.9554039,2092.067277,1773.001157,976.8699862,2011.778957,255.1082732,1318.40939,2782.584902,880.9667462,10199.14948,4374.261571,7903.715124,3470.783064,941.6577196,8757.97883,2301.665433,17751.22141,1933.569789,6543.476862,630.2238425,12919.30376,1321.449258,1615.962484,12802.33576,6642.302567,8087.827817,16540.34736,4003.507674,2040.759014,4665.229768,11150.83469,4554.377466,15265.58287,2514.140523,10629.98562,6377.532315,1994.937716
Phenylalanylalanine,874.2771666,110.2410564,1918.224883,272.3336786,974.8857174,2690.285842,1794.21963,470.2223228,363.3255047,1198.877046,1233.275767,978.7893118,876.0317714,2635.678522,1081.170768,440.301596,224.4707452,147.4413875,543.5127781,58.4863089,88.89846125,309.0559769,634.0751877,502.6555342,664.7282003,76.95631941,270.0448699,525.8005062,417.0882817,2674.839698,1801.40678,1089.425733,526.8470021,345.5169274,1346.284144,917.7069225,3363.266074,1342.056092,715.3881376,170.5709003,2696.4175,390.1729606,1201.190756,1850.936927,2327.340639,1352.509322,2107.841288,1172.523223,268.8141066,1219.649098,550.2603426,1484.823321,2473.751375,842.3319567,3356.556049,714.5768039,507.8595457
gamma_Glutamyl_phenylalanine,663.0398077,3862.447738,3718.548622,3197.23923,1397.654321,793.1819121,920.2493703,10480.8634,14376.27979,1192.353182,1872.187854,5489.312226,4474.493554,933.5285164,1442.075737,966.7999266,309.229099,201.8244816,1294.183974,37.08227759,23.86686129,92.22274381,263.1953993,1738.271369,1681.856998,410.2516521,1086.81679,317.5937377,23795.21753,2157.745984,3519.19718,2683.834083,15925.89791,12640.16827,1036.764204,1164.925387,675.8487944,2131.388529,5454.826447,6584.508135,1200.742474,5516.746565,2723.869152,3564.78375,3359.941389,706.1814149,2600.298492,1134.234696,29757.6035,1862.229402,2828.888959,11971.69511,2604.443028,27281.63493,3253.237118,1714.418994,4452.030497
Glycyl_Phenylalanine,2287.3523,639.8522031,3291.410307,845.859465,2926.105298,3127.239298,2767.671387,1466.064973,1371.29579,5273.656163,1138.411473,1969.164037,1908.370669,1928.568341,1447.989773,245.4147144,122.8872711,328.8248891,1080.532302,310.5003289,43.52886312,582.1108869,668.2964154,771.1954651,1246.59811,244.4530492,393.1617522,936.0227616,1492.09538,8840.278502,3616.729286,3891.881066,4652.883017,1182.276107,1234.363558,3252.847866,7043.034107,790.5919367,3210.071579,621.4587229,3544.633251,1708.247327,831.5314538,2156.812807,11197.0764,3376.587777,4337.766328,4178.952846,3199.437567,3385.147189,5509.931584,9042.099061,408.7623758,2000.227816,5395.33418,2698.471519,2753.838578
Leucylphenylalanine,3716.494992,577.0754253,7974.470571,1416.506922,6655.590208,14459.41568,22905.88379,2955.046542,20921.86246,13016.316,21083.49281,4184.352016,3379.118312,31683.03325,7315.367382,570.1299134,803.4279772,777.9907973,3463.117687,267.5359731,201.3389346,2702.550983,2627.737995,1830.204485,2366.223822,494.5501581,1909.714365,5739.733327,2005.382241,41786.71598,1848.609554,15004.03854,5843.100646,1896.581606,4423.431059,11195.531,5510.665427,1565.543957,24882.94211,2628.227284,46464.4396,2517.368733,2708.6601,21899.89024,13638.71287,11888.9529,31522.06595,7132.680047,1183.922057,10457.39893,4758.350161,14627.54847,8629.132281,5837.385703,34575.05219,8853.990719,5932.823012
