s__Anaerostipes_hadrus	non	
s__Bifidobacterium_longum	down
s__Blautia_obeum	non
s__Blautia_wexlerae	non
s__Ruminococcus_gnavus	non
s__Ruminococcus_torques	up
s__Clostridiales_bacterium_KLE1615	non
s__Coprococcus_eutactus	up
s__Dorea_longicatena	up
s__Escherichia_coli	non
s__Eubacterium_ramulus	non
s__Faecalibacterium_prausnitzii	non
s__Fusicatenibacter_saccharivorans	down
s__Fusobacterium_mortiferum	non
s__Hungatella_effluvii	non
s__Hungatella_hathewayi	down
s__Klebsiella_oxytoca	non
s__Klebsiella_pneumoniae	non	
s__Clostridium_bolteae	down
s__Eubacterium_rectale	up
s__Lactobacillus_mucosae	non
s__Roseburia_faecis	non
s__Roseburia_hominis	non
s__Roseburia_intestinalis	non
s__Roseburia_inulinivorans	up
s__Eubacterium_siraeum	non
s__Ruminococcus_bicirculans	non
s__Ruminococcus_lactaris	non
s__Streptococcus_salivarius	non
s__Tyzzerella_nexilis	non
