Species	NH13	NH16	NH17	NH23	NH25	NH30	NH34	NH36	NH46	NH5	NH50	NH53	NH61	NH65	NH69	NH71	NH73	NH75	NH76	NH77	RH1	RH10	RH11	RH12	RH13	RH14	RH15	RH16	RH17	RH18	RH19	RH2	RH20	RH21	RH22	RH23	RH24	RH25	RH26	RH27	RH28	RH29	RH3	RH30	RH31	RH32	RH33	RH34	RH35	RH36	RH37	RH39	RH4	RH40	RH41	RH42	RH43	RH44	RH45	RH46	RH47	RH48	RH49	RH5	RH50	RH51	RH52	RH53	RH54	RH55	RH56	RH57	RH58	RH6	RH63	RH64	RH7	RH8	RH9	T1	T10	T101AF	T102AF	T103AF	T104AF	T11	T12	T13	T13AF	T14	T15	T15AF	T16	T17	T18	T19	T2	T20	T21	T22	T23	T24	T24AF	T25	T26	T26AF	T27	T27AF	T28	T29	T29AF	T3	T30	T31	T32	T33	T34	T34AF	T35	T36	T37	T37AF	T38	T38AF	T39	T3AF	T4	T40	T40AF	T41	T42	T42AF	T43AF	T43be	T44be	T45AF	T45be	T46be	T47be	T48be	T49AF	T49be	T4AF	T5	T50AF	T50be	T51be	T53be	T54be	T55be	T56AF	T56be	T57AF	T57be	T58AF	T58be	T59AF	T59be	T6	T60be	T61AF	T61be	T62be	T63be	T64be	T65AF	T65be	T66be	T67be	T68be	T69AF	T69be	T7	T70be	T71AF	T71be	T72be	T73be	T74AF	T75AF	T77AF	T77be	T78AF	T79AF	T8	T80be	T81be	T82be	T83be	T85be	T86be	T87be	T88be	T89be	T9	T90be	T91be	T92be	T93be	T94be	T95be	T96be	T97be	T98be	T99be
Absiella_dolichum	49.681	17.482	24.416	21.815	14.536	31.368	23.272	32.587	21.951	59.029	31.144	14.103	24.212	37.7	29.338	58.254	41.105	28.49	12.587	42.48	45.835	22.394	35.394	42.924	28.916	31.75	38.49	48.683	24.805	23.688	41.545	34.844	28.968	10.136	26.081	26.239	51.641	29.237	23.599	46.101	57.444	14.063	24.56	35.229	20.967	60.223	34.791	32.442	29.466	21.933	19.42	70.214	30.317	16.523	46.05	51.272	41.786	60.683	9.606	22.556	24.055	16.693	34.087	14.891	24.277	109.19	37.174	16.91	6.686	13.923	25.696	69.265	113.338	31.131	36.034	42.455	55.6	34.138	47.366	9.811	21.835	24.245	22.174	24.194	40.434	18.179	14.064	16.826	61.712	17.747	85.413	69.096	29.579	13.133	24.583	28.94	22.942	29.56	26.289	47.668	21.899	30.115	54.501	17.842	66.51	83.054	22.335	23.529	15.742	12.568	30.208	20.74	12.094	47.228	27.252	15.391	40.742	32.989	20.19	23.864	11.934	23.741	35.438	41.632	10.831	42.913	8.677	24.276	26.805	18.947	32.193	76.774	40.626	36.622	27.073	18.185	25.251	17.801	19.001	36.683	23.167	15.241	25.651	23.064	27.097	17.132	36.493	55.073	31.807	21.191	71.328	28.248	45.818	25.319	36.768	34.065	41.594	28.203	12.613	25.281	34.919	17.459	34.405	55.569	44.713	15.245	37.455	36.235	34.04	36.436	74.424	68.686	12.191	54.856	12.104	30.795	28.529	24.139	29.757	10.985	12.332	18.564	9.435	20.795	9.649	27.58	29.761	42.355	27.214	31.278	45.539	56.495	24.819	43.083	9.998	43.771	36.013	51.349	50.64	28.695	82.658	61.321	21.849	57.662	32.574
Acetatifactor_muris	9.596	4.473	5.062	3.343	4.166	9.296	8.121	8.847	4.561	6.239	6.691	3.482	3.731	7.642	6.212	6.914	7.77	8.873	2.752	4.895	6.16	5.235	6.361	9.269	5.632	5.664	6.27	7.706	3.89	4.831	11.544	5.522	7.116	2.079	5.854	5.752	11.386	4.509	6.816	9.89	7.788	3.128	8.364	5.122	5.587	9.706	6.827	8.28	7.857	4.295	9.473	6.151	6.019	4.293	5.958	4.873	10.991	5.513	3.46	6.105	1.984	3.757	7.077	4.41	10.663	17.117	7.609	7.565	NA	4.404	10.125	5.137	18.88	5.868	6.363	12.597	6.166	7.319	9.93	1.979	5.249	6.407	6.515	5.417	9.475	3.669	3.043	3.75	7.849	4.159	8.835	12.863	9.35	3.336	4.671	6.043	6.343	5.178	6.741	7.835	4.392	4.256	5.536	6.155	8.121	10.226	5.262	7.862	4.938	3.969	6.087	2.813	3.592	8.27	7.125	3.604	6.434	5.75	4.459	5.159	2.889	5.662	4.307	6.895	2.648	7.987	2.902	5.352	5.239	3.248	5.785	6.538	8.109	5.108	5.536	4.382	4.998	5.049	4.489	6.583	4.467	4.013	4.107	4.026	4.815	3.34	6.153	6.855	11.873	5.316	9.53	5.371	6.576	5.368	6.854	8.597	10.376	7.44	4.223	6.949	6.609	3.31	6.893	8.517	9.657	5.216	10.051	5.44	7.155	7.118	6.713	7.386	3.233	11.414	3.134	6.611	5.831	6.7	6.884	2.15	3.462	4.126	3.17	5.12	2.506	6.081	5.609	7.167	7.702	9.308	8.469	4.875	6.363	6.915	2.082	9.211	8.846	6.375	12.662	3.067	7.802	10.252	8.227	8.191	5.737
Acetivibrio_ethanolgignens	11.241	6.209	9.884	6.861	11.692	16.756	11.055	14.429	10.818	14.008	15.404	8.154	7.484	17.471	13.117	12.289	15.83	15.416	6.026	10.054	8.865	9.782	11.644	17.489	8.954	13.821	12.484	14.654	30.817	7.05	31.032	14.637	12.373	4.773	15.712	11.503	16.002	9.339	12.8	32.357	21.704	7.535	16.027	13.551	8.619	15.866	9.231	17.517	18.274	9.697	17.945	19.893	13.533	7.52	13.473	15.278	25.911	23.976	5.671	12.077	5.13	7.231	25.035	8.178	19.507	32.064	16.169	12	3.501	7.717	9.577	16.06	25.358	13.76	10.363	17.211	19.571	14.17	22.122	5.169	12.591	10.047	19.003	13.087	14.281	7.806	7.52	8.232	18.807	10.526	22.702	25.561	17.994	8.788	11.744	15.047	13.136	13.66	14.395	15.466	12.311	9.004	12.871	13.587	14.834	19.206	12.37	20.281	11.471	9.497	16.121	6.578	8.719	19.239	14.684	8.99	14.276	10.989	13.283	10.842	8.24	13.365	10.309	14.96	7.214	21.4	8.856	13.126	12.511	11.049	12.711	21.864	15.274	12.276	11.116	11.511	15.531	13.493	12.589	18.628	11.838	10.328	11.111	7.66	12.341	7.097	14.538	19.771	13.044	12.953	22.554	13.365	17.68	12.312	17.33	16.875	21.599	17.754	9.372	12.96	16.577	10.496	19.311	14.643	21.626	12.624	18.035	12.317	21.179	20.08	17.158	17.957	10.501	24.101	8.598	12.075	14.583	21.209	11.208	4.327	9.143	11.454	8.432	15.679	6.526	17.089	15.677	16.295	17.518	14.933	14.024	11.432	13.701	14.546	6.054	18.603	15.347	13.595	20.622	7.621	19.774	15.324	12.499	16.16	13.583
Acetobacter_sp._46_36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Acetobacter_sp._CAG:267	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Achromobacter_sp._ATCC35328	25.328	11.942	7.054	2.285	4.798	5.959	1.641	NA	15.316	20.946	5.237	1.955	354.533	3.223	1.637	NA	14.809	NA	276.058	1.824	18.712	2.013	1.39	148.54	1.268	12.459	7.741	3.1	439.039	30.77	NA	NA	NA	1374.301	4.915	NA	1.544	7.639	2.838	25.314	59.515	79.474	174.942	37.911	19.703	15.07	8.564	1.839	8.284	5.074	2.595	181.113	8.826	14.767	40.663	1.919	6.601	2.459	NA	1.505	1.238	77.302	1.368	2.896	43.804	2.041	1.555	146.817	3.077	NA	NA	NA	NA	NA	NA	463.031	3.511	9.025	3.028	3.619	NA	14.701	10.379	NA	103.439	NA	9.43	7.276	10.325	6.38	NA	NA	4.931	2.444	NA	4.496	4.344	14.962	NA	5.525	13.334	26.5	4.321	2.149	3.332	3.189	5.814	2.792	1.804	1.863	1.306	4.051	NA	15.036	6.969	3.172	13.192	2.174	3.367	92.276	5.405	170.335	81.479	22.995	4.772	2.925	2.541	21.305	NA	NA	210.448	1.619	1.792	3.033	3.23	16.711	30.774	2.499	NA	NA	13.784	NA	3.409	258.221	5.727	8.148	127.084	238.942	6.108	1.538	63.114	109.034	6.103	409.542	166.863	14.56	2.258	NA	6.019	643.236	1.429	2.967	17.319	8.103	11.647	1.636	1.942	28.145	8.782	1.782	12.309	19.263	89.605	16.686	8.39	74.991	38.099	1.851	538.899	2.671	NA	9.151	143.226	14.393	NA	775.672	4.519	NA	NA	13.104	1.381	17.016	2.174	69.875	15.206	3.118	9.063	7.299	4.793	1059.384	NA	1.533	NA	14.447	15.075
Acidaminococcus_fermentans	10.31	10.023	15.613	6.804	10.137	14.171	8.779	12.156	13.52	9.52	12.323	9.926	14.77	7.866	8.912	11.393	9.13	14.192	17.048	8.632	7.881	10.651	8.601	15.134	7.986	20.868	12.22	9.801	16.251	7.551	20.621	34.354	10.734	7.628	11.856	11.438	10.167	10.626	23.296	32.993	17.283	10.374	58.673	10.713	10.397	21.083	12.139	31.025	20.331	5.278	5.956	10.677	10.54	6.692	10.152	7.6	8.962	6.13	6.469	11.978	6.618	9.212	4.016	7.64	21.997	21.408	11.225	16.753	9.112	5.727	7.003	7.252	8.313	11.626	6.731	16.741	13.31	10.636	20.335	32.039	13.263	11.456	14.257	14.99	14.616	11.999	19.4	51.834	17.776	14.612	17.744	16.262	16.728	35.14	12.804	15.741	16.272	15.038	11.511	17.404	14.204	19.904	26.458	19.465	12.336	15.483	14.171	17.539	12.123	11.389	13.539	11.99	12.213	11.906	16.689	12.784	26.674	21.991	18.455	14.156	9.732	13.251	40.56	13.967	9.838	53.842	12.043	13.55	12.835	9.91	11.18	12.602	14.288	9.719	14.237	13.371	17.081	16.462	9.745	12.744	35.946	10.965	16.846	17.432	12.286	7.819	15.068	14.914	17.582	28.902	16.28	17.638	14.72	21.143	96.248	16.75	14.823	14.186	12.808	13.816	14.84	27.801	21.872	16.944	44.348	12.266	17.247	15.176	20.787	16.006	13.294	12.607	13.15	17.806	11.515	27.936	14.944	15.282	12.686	8.421	12.968	15.625	14.144	13.067	12.564	17.163	49.813	15.882	15.663	16.317	14.823	11.784	16.819	13.266	9.705	13.569	14.568	20.523	13.906	13.917	16.561	11.73	15.25	15.493	13.81
Acidaminococcus_intestini	8.416	6.288	10.006	5.437	8.512	10.413	7.81	6.983	8.185	6.532	8.922	5.984	7.615	6.066	7.075	8.282	7.358	10.952	6.878	6.131	7.366	6.353	5.922	8.878	5.653	11.445	9.193	7.272	8.39	4.958	13.613	18.732	7.029	4.204	8.448	8.485	6.57	7.11	13.737	20.95	10.329	5.411	10.801	7.387	6.637	12.897	7.857	16.817	12.73	4.102	4.206	6.039	7.95	6.325	6.98	5.258	5.93	5.04	4.087	8.626	4.596	8.583	3.421	6.541	14.391	17.451	7.44	10.385	4.615	3.168	6.876	5.176	9.729	8.096	4.266	12.505	8.785	6.882	17.336	10.019	9.265	9.398	8.449	9.792	10.616	7.062	9.93	17.836	10.554	8.367	11.181	10.672	10.853	18.393	7.567	10.501	10.366	9.752	8.037	10.883	8.977	10.72	13.599	11.793	10.073	9.521	11.072	13.477	7.764	6.954	8.321	6.405	6.676	9.274	10.359	7.127	18.726	13.567	11.495	9.713	5.86	9.543	10.213	9.664	5.795	29.705	6.695	10.001	8.953	6.422	8.119	7.552	11.337	7.86	9.645	7.419	10.154	12.056	6.3	8.561	17.905	7.301	9.97	7.575	9.017	6.013	9.309	9.003	11.296	15.993	11.047	9.681	8.763	12.566	48.092	11.016	13.549	9.856	8.019	7.932	9.47	14.443	12.171	10.258	23.575	8.79	14.539	9.391	13.426	9.811	9.492	10.843	8.485	12.992	5.946	17.681	9.676	9.539	6.712	4.695	7.65	9.465	8.105	8.138	7.021	9.173	25.464	9.788	12.401	12.763	12.557	9.819	11.984	11.035	7.665	8.241	9.514	11.972	9.232	7.526	10.13	8.576	9.12	12.77	8.095
Acidaminococcus_massiliensis	6.236	5.452	7.886	3.647	5.201	7.491	4.666	6.307	6.985	5.055	6.285	5.847	7.546	4.123	4.67	6.056	4.776	7.313	8.585	4.415	4.163	5.608	4.517	7.81	4.177	10.926	6.418	5.215	8.244	3.974	10.663	16.188	5.586	4.148	6.249	5.96	5.298	5.583	11.748	13.131	8.961	5.595	145.427	5.643	5.548	10.709	6.304	15.355	9.982	2.725	3.158	5.625	5.606	4.122	5.359	4.004	4.563	3.242	3.576	6.294	3.319	4.77	2.165	4.075	11.425	11.292	5.967	8.779	4.813	3.077	3.753	3.81	4.319	6.115	3.565	8.904	6.876	5.632	11.205	13.42	6.897	5.771	7.556	7.838	7.736	6.198	9.441	30.872	9.295	7.554	9.332	8.524	8.667	17.352	6.617	10.236	8.402	7.719	5.901	9.007	7.431	10.006	13.012	9.805	6.465	8.145	7.29	9.112	6.287	5.992	6.893	6.183	6.489	6.292	8.864	6.548	13.764	11.473	9.268	7.249	5.071	7.019	25.069	7.391	5.255	26.686	6.457	6.998	6.782	5.294	5.862	6.508	7.559	5.118	7.237	6.752	8.641	8.005	5.135	6.716	18.636	5.792	8.495	18.139	6.504	4.011	7.996	7.885	9.308	13.987	8.521	10.42	7.87	10.572	45.629	8.946	7.904	7.526	6.623	7.436	7.853	13.608	11.54	9.001	22.039	6.259	9.122	7.824	10.711	8.416	7.042	6.665	6.899	9.377	6.093	12.985	7.747	8.023	8.388	4.575	6.594	7.856	7.182	6.969	6.561	9.313	23.703	8.506	8.321	8.506	7.844	6.229	8.346	6.932	4.62	7.108	7.529	10.453	7.426	7.084	8.376	6.11	8.06	8.178	7.281
Acidaminococcus_sp._BV3L6	NA	NA	2.923	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.733	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.984	NA	NA	3.005	NA	NA	6.146	NA	NA	NA	NA	NA	NA	4.355	4.213	NA	NA	4.237	NA	NA	3.933	NA	5.872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.196	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.261	NA	2.242	NA	NA	NA	NA	3.605	5.989	NA	2.629	NA	NA	NA	6.508	NA	NA	3.137	2.902	NA	NA	NA	3.786	4.922	3.607	NA	NA	NA	NA	NA	NA	NA	2.228	NA	NA	NA	2.413	NA	3.984	3.293	NA	NA	NA	3.214	NA	NA	10.038	NA	NA	NA	NA	NA	NA	NA	NA	2.678	NA	3.212	3.082	NA	NA	NA	NA	3.239	2.439	NA	NA	NA	NA	NA	5.462	NA	3.169	NA	4.03	17.89	NA	NA	NA	NA	NA	NA	5.194	NA	NA	8.204	2.332	NA	NA	3.886	NA	NA	NA	NA	NA	NA	3.78	NA	NA	NA	NA	2.48	2.967	2.691	NA	2.365	NA	9.399	NA	NA	NA	NA	NA	3.203	NA	NA	NA	NA	3.957	NA	2.606	3.187	NA	NA	NA	NA
